date,CPI level,city,category
2026-02-01,120.4458260984,ORURO,Vivienda y servicios básicos
2026-03-01,120.5435405859,ORURO,Vivienda y servicios básicos
2026-04-01,120.7564505669,ORURO,Vivienda y servicios básicos
2026-05-01,121.1007140358,ORURO,Vivienda y servicios básicos
2026-06-01,121.4919473853,ORURO,Vivienda y servicios básicos
2026-07-01,121.9798780537,ORURO,Vivienda y servicios básicos
2018-01-01,101.5486194664,ORURO,ÍNDICE GENERAL
2018-02-01,101.2918622275,ORURO,ÍNDICE GENERAL
2018-03-01,100.9606626808,ORURO,ÍNDICE GENERAL
2018-04-01,101.3676953572,ORURO,ÍNDICE GENERAL
2018-05-01,101.2130852965,ORURO,ÍNDICE GENERAL
2018-06-01,101.4980932248,ORURO,ÍNDICE GENERAL
2018-07-01,101.6390243998,ORURO,ÍNDICE GENERAL
2018-08-01,101.6951849382,ORURO,ÍNDICE GENERAL
2018-09-01,101.665840326,ORURO,ÍNDICE GENERAL
2018-10-01,101.6628320437,ORURO,ÍNDICE GENERAL
2018-11-01,102.0964115314,ORURO,ÍNDICE GENERAL
2018-12-01,102.5569119524,ORURO,ÍNDICE GENERAL
2019-01-01,102.6156844559,ORURO,ÍNDICE GENERAL
2019-02-01,102.3743828915,ORURO,ÍNDICE GENERAL
2019-03-01,102.3277925838,ORURO,ÍNDICE GENERAL
2019-04-01,102.3439165591,ORURO,ÍNDICE GENERAL
2019-05-01,103.4135486269,ORURO,ÍNDICE GENERAL
2019-06-01,103.6706054516,ORURO,ÍNDICE GENERAL
2019-07-01,103.5469334881,ORURO,ÍNDICE GENERAL
2019-08-01,104.2380988322,ORURO,ÍNDICE GENERAL
2019-09-01,104.3221727785,ORURO,ÍNDICE GENERAL
2019-10-01,104.418821239,ORURO,ÍNDICE GENERAL
2019-11-01,106.6592781549,ORURO,ÍNDICE GENERAL
2019-12-01,103.8949211651,ORURO,ÍNDICE GENERAL
2020-01-01,103.3945759933,ORURO,ÍNDICE GENERAL
2020-02-01,102.8455985199,ORURO,ÍNDICE GENERAL
2020-03-01,102.5114628594,ORURO,ÍNDICE GENERAL
2020-04-01,102.0785182577,ORURO,ÍNDICE GENERAL
2020-05-01,102.4084502823,ORURO,ÍNDICE GENERAL
2020-06-01,103.1893453987,ORURO,ÍNDICE GENERAL
2020-07-01,103.7711168562,ORURO,ÍNDICE GENERAL
2020-08-01,105.2131629992,ORURO,ÍNDICE GENERAL
2020-09-01,103.4276295592,ORURO,ÍNDICE GENERAL
2020-10-01,104.1140375684,ORURO,ÍNDICE GENERAL
2020-11-01,104.0228926409,ORURO,ÍNDICE GENERAL
2020-12-01,103.9747600557,ORURO,ÍNDICE GENERAL
2021-01-01,104.390849391,ORURO,ÍNDICE GENERAL
2021-02-01,103.8371007148,ORURO,ÍNDICE GENERAL
2021-03-01,103.7411443065,ORURO,ÍNDICE GENERAL
2021-04-01,103.6927835947,ORURO,ÍNDICE GENERAL
2021-05-01,103.8045650233,ORURO,ÍNDICE GENERAL
2021-06-01,103.6437015561,ORURO,ÍNDICE GENERAL
2021-07-01,103.2268971,ORURO,ÍNDICE GENERAL
2021-08-01,103.6201879752,ORURO,ÍNDICE GENERAL
2021-09-01,103.6202953746,ORURO,ÍNDICE GENERAL
2021-10-01,103.5282271259,ORURO,ÍNDICE GENERAL
2021-11-01,103.5799420177,ORURO,ÍNDICE GENERAL
2021-12-01,103.5739472038,ORURO,ÍNDICE GENERAL
2022-01-01,103.6113146148,ORURO,ÍNDICE GENERAL
2022-02-01,103.7480358258,ORURO,ÍNDICE GENERAL
2022-03-01,103.5526826859,ORURO,ÍNDICE GENERAL
2022-04-01,103.5741420143,ORURO,ÍNDICE GENERAL
2022-05-01,104.2313105823,ORURO,ÍNDICE GENERAL
2022-06-01,104.4405014646,ORURO,ÍNDICE GENERAL
2022-07-01,104.9762848516,ORURO,ÍNDICE GENERAL
2022-08-01,105.0911104401,ORURO,ÍNDICE GENERAL
2022-09-01,105.6090374235,ORURO,ÍNDICE GENERAL
2022-10-01,106.3937831703,ORURO,ÍNDICE GENERAL
2022-11-01,107.377758,ORURO,ÍNDICE GENERAL
2022-12-01,107.2271957123,ORURO,ÍNDICE GENERAL
2023-01-01,107.8291567896,ORURO,ÍNDICE GENERAL
2023-02-01,107.3189777561,ORURO,ÍNDICE GENERAL
2023-03-01,107.3280643017,ORURO,ÍNDICE GENERAL
2023-04-01,107.4483338226,ORURO,ÍNDICE GENERAL
2023-05-01,107.8487001526,ORURO,ÍNDICE GENERAL
2023-06-01,108.2106453276,ORURO,ÍNDICE GENERAL
2023-07-01,108.7260996,ORURO,ÍNDICE GENERAL
2023-08-01,109.1720884575,ORURO,ÍNDICE GENERAL
2023-09-01,109.2304880739,ORURO,ÍNDICE GENERAL
2023-10-01,109.1885595182,ORURO,ÍNDICE GENERAL
2023-11-01,109.5975882,ORURO,ÍNDICE GENERAL
2023-12-01,110.1918130348,ORURO,ÍNDICE GENERAL
2024-01-01,110.330101149,ORURO,ÍNDICE GENERAL
2024-02-01,110.7490143,ORURO,ÍNDICE GENERAL
2024-03-01,110.0956239165,ORURO,ÍNDICE GENERAL
2024-04-01,110.0419722453,ORURO,ÍNDICE GENERAL
2024-05-01,110.9179293188,ORURO,ÍNDICE GENERAL
2024-06-01,111.9402495346,ORURO,ÍNDICE GENERAL
2024-07-01,112.2884847011,ORURO,ÍNDICE GENERAL
